ID,Marriage_Type,Age_at_Marriage,Gender,Education_Level,Caste_Match,Religion,Parental_Approval,Urban_Rural,Dowry_Exchanged,Marital_Satisfaction,Divorce_Status,Children_Count,Income_Level,Years_Since_Marriage,Spouse_Working,Inter-Caste,Inter-Religion,Marriage_Type_Encoded,Gender_Encoded,Education_Level_Encoded,Caste_Match_Encoded,Religion_Encoded,Parental_Approval_Encoded,Dowry_Exchanged_Encoded,Marital_Satisfaction_Encoded,Divorce_Status_Encoded,Income_Level_Encoded,Spouse_Working_Encoded,Inter-Caste_Encoded,Inter-Religion_Encoded
1320,Arranged,37,Male,Graduate,Same,Hindu,Partial,Urban,Yes,Medium,No,5,Middle,36,No,Yes,No,0,1,0,1,1,1,2,2,0,2,0,1,0
1321,Love,30,Female,Postgraduate,Different,Hindu,Yes,Urban,No,Medium,No,2,Middle,35,No,Yes,Yes,1,0,2,0,1,2,0,2,0,2,0,1,1
1322,Arranged,27,Male,Postgraduate,Same,Others,Yes,Urban,No,High,No,3,Low,15,No,No,No,0,1,2,1,3,2,0,0,0,1,0,0,0
1323,Arranged,26,Male,Postgraduate,Same,Hindu,Yes,Urban,No,Medium,No,4,Middle,2,No,No,No,0,1,2,1,1,2,0,2,0,2,0,0,0
1324,Arranged,31,Female,School,Same,Sikh,Yes,Rural,No,High,No,5,Low,39,No,Yes,Yes,0,0,3,1,4,2,0,0,0,1,0,1,1
1325,Arranged,27,Male,Graduate,Same,Hindu,Partial,Rural,No,High,No,2,Low,35,Yes,No,No,0,1,0,1,1,1,0,0,0,1,1,0,0
1326,Arranged,39,Female,Graduate,Same,Hindu,Yes,Urban,No,Medium,No,2,Middle,15,No,Yes,No,0,0,0,1,1,2,0,2,0,2,0,1,0
1327,Arranged,36,Male,School,Same,Muslim,Yes,Urban,No,Medium,No,0,High,42,No,Yes,Yes,0,1,3,1,2,2,0,2,0,0,0,1,1
1328,Love,32,Male,Graduate,Same,Hindu,Yes,Urban,No,High,No,1,Middle,16,No,No,No,1,1,0,1,1,2,0,0,0,2,0,0,0
1329,Love,31,Male,Graduate,Same,Muslim,No,Urban,Yes,High,No,3,Middle,26,Yes,Yes,Yes,1,1,0,1,2,0,2,0,0,2,1,1,1
1330,Arranged,20,Female,School,Same,Hindu,No,Urban,Yes,Medium,No,5,Middle,19,Yes,No,No,0,0,3,1,1,0,2,2,0,2,1,0,0
1331,Love,21,Male,PhD,Different,Hindu,Yes,Rural,No,Low,No,2,Low,23,No,Yes,Yes,1,1,1,0,1,2,0,1,0,1,0,1,1
1332,Arranged,30,Female,Graduate,Same,Muslim,Yes,Urban,Yes,Low,No,1,Middle,36,Yes,No,No,0,0,0,1,2,2,2,1,0,2,1,0,0
1333,Love,27,Female,Graduate,Same,Hindu,Partial,Rural,No,High,No,0,Middle,44,No,No,No,1,0,0,1,1,1,0,0,0,2,0,0,0
1334,Arranged,18,Male,School,Different,Muslim,Partial,Urban,No,High,No,1,Middle,34,Yes,No,No,0,1,3,0,2,1,0,0,0,2,1,0,0
1335,Arranged,33,Female,School,Same,Christian,Yes,Rural,Yes,Medium,No,5,Middle,7,Yes,Yes,No,0,0,3,1,0,2,2,2,0,2,1,1,0
1336,Arranged,28,Female,School,Different,Hindu,Yes,Urban,Not Disclosed,Medium,No,5,Middle,11,Yes,No,No,0,0,3,0,1,2,1,2,0,2,1,0,0
1337,Love,31,Female,Graduate,Same,Hindu,Yes,Urban,No,High,No,1,Middle,31,No,No,No,1,0,0,1,1,2,0,0,0,2,0,0,0
1338,Love,23,Male,Graduate,Same,Sikh,Partial,Rural,No,Low,No,3,Middle,10,No,Yes,Yes,1,1,0,1,4,1,0,1,0,2,0,1,1
1339,Arranged,24,Male,Postgraduate,Different,Hindu,Yes,Urban,Yes,Medium,No,2,Middle,5,Yes,No,Yes,0,1,2,0,1,2,2,2,0,2,1,0,1
1340,Arranged,30,Male,School,Same,Hindu,Yes,Rural,No,Medium,No,0,Middle,13,Yes,No,Yes,0,1,3,1,1,2,0,2,0,2,1,0,1
1341,Arranged,32,Male,PhD,Same,Hindu,Yes,Urban,Not Disclosed,Low,No,4,Middle,40,Yes,No,No,0,1,1,1,1,2,1,1,0,2,1,0,0
1342,Arranged,39,Male,Graduate,Different,Hindu,Yes,Rural,No,Medium,Yes,5,Low,42,No,No,No,0,1,0,0,1,2,0,2,1,1,0,0,0
1343,Arranged,23,Female,Graduate,Same,Hindu,Yes,Urban,No,Medium,No,2,Middle,29,No,No,No,0,0,0,1,1,2,0,2,0,2,0,0,0
1344,Love,32,Male,School,Same,Muslim,Yes,Urban,Yes,Low,No,3,Low,2,No,No,Yes,1,1,3,1,2,2,2,1,0,1,0,0,1
1345,Arranged,33,Female,School,Same,Hindu,Yes,Urban,Not Disclosed,Low,No,5,Middle,7,No,No,No,0,0,3,1,1,2,1,1,0,2,0,0,0
1346,Arranged,37,Male,School,Same,Muslim,Partial,Rural,Yes,Medium,No,4,High,8,Yes,No,Yes,0,1,3,1,2,1,2,2,0,0,1,0,1
1347,Love,37,Male,Graduate,Different,Hindu,Yes,Urban,No,Low,No,4,High,1,Yes,No,No,1,1,0,0,1,2,0,1,0,0,1,0,0
1348,Love,30,Female,School,Same,Hindu,Yes,Urban,No,Low,No,1,Middle,9,Yes,Yes,Yes,1,0,3,1,1,2,0,1,0,2,1,1,1
1349,Arranged,39,Female,PhD,Different,Muslim,Yes,Urban,No,High,Yes,5,Low,4,No,No,Yes,0,0,1,0,2,2,0,0,1,1,0,0,1
1350,Arranged,27,Male,Graduate,Same,Hindu,Partial,Rural,No,Medium,Yes,5,Middle,41,Yes,No,No,0,1,0,1,1,1,0,2,1,2,1,0,0
1351,Arranged,20,Male,Postgraduate,Same,Christian,Yes,Urban,Not Disclosed,Medium,No,3,High,9,Yes,No,No,0,1,2,1,0,2,1,2,0,0,1,0,0
1352,Arranged,30,Female,School,Same,Sikh,Yes,Urban,No,Low,No,4,Middle,32,No,No,Yes,0,0,3,1,4,2,0,1,0,2,0,0,1
1353,Love,29,Male,Graduate,Same,Hindu,Yes,Rural,No,Medium,No,2,High,1,Yes,Yes,No,1,1,0,1,1,2,0,2,0,0,1,1,0
1354,Arranged,18,Female,Graduate,Different,Hindu,Yes,Urban,No,High,No,1,Middle,15,No,Yes,Yes,0,0,0,0,1,2,0,0,0,2,0,1,1
1355,Arranged,37,Male,School,Same,Hindu,Yes,Urban,No,Low,No,4,Middle,10,Yes,Yes,No,0,1,3,1,1,2,0,1,0,2,1,1,0
1356,Love,32,Male,Postgraduate,Same,Hindu,Yes,Rural,No,Medium,No,1,Middle,18,Yes,Yes,No,1,1,2,1,1,2,0,2,0,2,1,1,0
1357,Arranged,39,Male,Graduate,Same,Hindu,Yes,Rural,No,Medium,No,5,Low,33,No,No,No,0,1,0,1,1,2,0,2,0,1,0,0,0
1358,Arranged,25,Female,School,Same,Hindu,Partial,Rural,Not Disclosed,Medium,No,5,Middle,20,No,Yes,Yes,0,0,3,1,1,1,1,2,0,2,0,1,1
1359,Arranged,22,Male,Postgraduate,Different,Christian,Partial,Urban,No,Medium,Yes,5,Middle,33,No,No,No,0,1,2,0,0,1,0,2,1,2,0,0,0
1360,Love,27,Female,PhD,Same,Hindu,Yes,Urban,No,Medium,No,5,High,20,Yes,No,No,1,0,1,1,1,2,0,2,0,0,1,0,0
1361,Arranged,22,Male,Graduate,Different,Hindu,Partial,Urban,No,Medium,No,0,Middle,8,Yes,No,No,0,1,0,0,1,1,0,2,0,2,1,0,0
1362,Arranged,27,Male,Graduate,Same,Hindu,Yes,Urban,Yes,Medium,No,4,Middle,37,Yes,No,No,0,1,0,1,1,2,2,2,0,2,1,0,0
1363,Arranged,38,Male,School,Same,Hindu,Partial,Urban,Yes,Medium,No,2,Middle,36,Yes,No,No,0,1,3,1,1,1,2,2,0,2,1,0,0
1364,Love,38,Female,Graduate,Same,Christian,No,Urban,Yes,Medium,No,4,High,7,No,Yes,No,1,0,0,1,0,0,2,2,0,0,0,1,0
1365,Arranged,38,Female,School,Same,Muslim,Yes,Rural,Yes,Medium,Yes,3,Low,24,Yes,Yes,No,0,0,3,1,2,2,2,2,1,1,1,1,0
1366,Arranged,31,Male,School,Same,Hindu,Partial,Rural,No,Low,No,5,Middle,24,No,No,Yes,0,1,3,1,1,1,0,1,0,2,0,0,1
1367,Love,34,Female,Graduate,Different,Hindu,Yes,Urban,Yes,High,No,2,High,23,Yes,No,No,1,0,0,0,1,2,2,0,0,0,1,0,0
1368,Love,33,Female,PhD,Different,Hindu,Yes,Rural,No,Medium,Yes,4,Middle,30,Yes,No,No,1,0,1,0,1,2,0,2,1,2,1,0,0
1369,Love,35,Female,Graduate,Different,Hindu,Yes,Rural,Yes,High,No,4,Middle,11,No,No,No,1,0,0,0,1,2,2,0,0,2,0,0,0
1370,Love,18,Male,School,Same,Muslim,Yes,Urban,Yes,Low,No,3,High,22,Yes,No,No,1,1,3,1,2,2,2,1,0,0,1,0,0
1371,Arranged,26,Female,Graduate,Different,Others,Yes,Urban,No,Low,No,5,Middle,22,No,No,Yes,0,0,0,0,3,2,0,1,0,2,0,0,1
1372,Arranged,18,Female,School,Same,Muslim,Yes,Urban,Yes,Low,No,3,Middle,13,No,No,No,0,0,3,1,2,2,2,1,0,2,0,0,0
1373,Love,27,Female,Graduate,Same,Hindu,No,Rural,No,Medium,No,1,High,22,No,No,No,1,0,0,1,1,0,0,2,0,0,0,0,0
1374,Arranged,21,Female,School,Same,Hindu,Yes,Rural,No,High,No,2,Low,43,Yes,Yes,No,0,0,3,1,1,2,0,0,0,1,1,1,0
1375,Love,35,Male,School,Different,Christian,Yes,Rural,No,Medium,No,1,Low,13,Yes,No,No,1,1,3,0,0,2,0,2,0,1,1,0,0
1376,Love,28,Female,Postgraduate,Same,Hindu,Partial,Rural,Yes,Low,No,0,Middle,32,Yes,No,Yes,1,0,2,1,1,1,2,1,0,2,1,0,1
1377,Arranged,19,Male,Graduate,Same,Christian,Yes,Urban,No,High,No,0,Low,7,No,Yes,No,0,1,0,1,0,2,0,0,0,1,0,1,0
1378,Arranged,35,Male,PhD,Same,Christian,Yes,Rural,Yes,Medium,No,2,Low,14,Yes,No,No,0,1,1,1,0,2,2,2,0,1,1,0,0
1379,Love,20,Male,Graduate,Same,Hindu,No,Urban,No,High,No,4,Middle,16,Yes,No,No,1,1,0,1,1,0,0,0,0,2,1,0,0
1380,Love,37,Male,Graduate,Different,Hindu,Yes,Urban,No,Low,No,0,Low,28,Yes,No,No,1,1,0,0,1,2,0,1,0,1,1,0,0
1381,Arranged,34,Male,Graduate,Different,Christian,Yes,Urban,No,Medium,No,0,Low,14,No,Yes,No,0,1,0,0,0,2,0,2,0,1,0,1,0
1382,Arranged,31,Male,School,Same,Others,Yes,Urban,Yes,Low,Yes,3,Middle,35,No,Yes,No,0,1,3,1,3,2,2,1,1,2,0,1,0
1383,Arranged,28,Male,Graduate,Same,Hindu,Yes,Urban,No,Medium,No,4,Middle,10,No,Yes,No,0,1,0,1,1,2,0,2,0,2,0,1,0
1384,Love,19,Female,PhD,Same,Hindu,Yes,Rural,No,Medium,No,4,Middle,28,No,Yes,No,1,0,1,1,1,2,0,2,0,2,0,1,0
1385,Love,30,Male,School,Same,Hindu,Yes,Urban,No,Medium,No,0,High,37,No,No,No,1,1,3,1,1,2,0,2,0,0,0,0,0
1386,Arranged,36,Female,School,Same,Hindu,No,Rural,No,Medium,No,3,Middle,39,No,Yes,No,0,0,3,1,1,0,0,2,0,2,0,1,0
1387,Arranged,26,Male,Graduate,Different,Christian,Yes,Rural,No,Medium,No,0,Middle,18,Yes,Yes,Yes,0,1,0,0,0,2,0,2,0,2,1,1,1
1388,Arranged,38,Female,Graduate,Same,Muslim,No,Urban,No,High,No,5,Middle,22,Yes,No,No,0,0,0,1,2,0,0,0,0,2,1,0,0
1389,Arranged,28,Male,PhD,Same,Hindu,No,Rural,Not Disclosed,Medium,Yes,1,Middle,29,Yes,No,No,0,1,1,1,1,0,1,2,1,2,1,0,0
1390,Arranged,37,Female,School,Different,Muslim,No,Rural,No,Medium,No,4,Middle,16,Yes,No,No,0,0,3,0,2,0,0,2,0,2,1,0,0
1391,Love,26,Male,School,Different,Hindu,Yes,Rural,No,Low,No,1,Low,39,No,No,No,1,1,3,0,1,2,0,1,0,1,0,0,0
1392,Arranged,32,Female,Graduate,Different,Hindu,Partial,Urban,No,High,Yes,3,Middle,45,No,Yes,No,0,0,0,0,1,1,0,0,1,2,0,1,0
1393,Arranged,30,Female,Postgraduate,Same,Hindu,Yes,Rural,No,Medium,No,3,Middle,49,No,No,No,0,0,2,1,1,2,0,2,0,2,0,0,0
1394,Love,31,Male,School,Different,Muslim,Yes,Urban,Yes,Medium,No,4,High,7,Yes,No,No,1,1,3,0,2,2,2,2,0,0,1,0,0
1395,Love,39,Female,Graduate,Same,Muslim,Yes,Rural,No,Medium,Yes,4,Middle,9,Yes,Yes,No,1,0,0,1,2,2,0,2,1,2,1,1,0
1396,Love,29,Male,School,Same,Muslim,Yes,Urban,Not Disclosed,Medium,No,5,Middle,16,No,No,No,1,1,3,1,2,2,1,2,0,2,0,0,0
1397,Arranged,30,Male,Postgraduate,Different,Christian,Partial,Rural,No,Low,No,3,Middle,22,No,No,No,0,1,2,0,0,1,0,1,0,2,0,0,0
1398,Love,23,Male,Graduate,Same,Hindu,Partial,Rural,Yes,Low,No,3,Middle,41,No,Yes,No,1,1,0,1,1,1,2,1,0,2,0,1,0
1399,Arranged,21,Female,Graduate,Same,Hindu,Yes,Urban,No,High,No,3,Middle,19,Yes,No,Yes,0,0,0,1,1,2,0,0,0,2,1,0,1
1400,Arranged,33,Female,Graduate,Same,Christian,Yes,Rural,No,Medium,Yes,4,High,1,No,Yes,No,0,0,0,1,0,2,0,2,1,0,0,1,0
1401,Arranged,24,Female,Postgraduate,Same,Hindu,Yes,Urban,No,High,No,3,Low,11,No,Yes,No,0,0,2,1,1,2,0,0,0,1,0,1,0
1402,Love,28,Female,School,Same,Hindu,Yes,Urban,No,Low,No,4,Middle,41,Yes,No,Yes,1,0,3,1,1,2,0,1,0,2,1,0,1
1403,Love,38,Female,School,Same,Hindu,No,Urban,Yes,High,No,0,Middle,27,No,No,Yes,1,0,3,1,1,0,2,0,0,2,0,0,1
1404,Arranged,18,Male,School,Same,Christian,Partial,Rural,No,High,Yes,1,Low,23,Yes,No,Yes,0,1,3,1,0,1,0,0,1,1,1,0,1
1405,Arranged,32,Male,School,Same,Muslim,Partial,Rural,No,Low,No,1,Low,1,Yes,No,No,0,1,3,1,2,1,0,1,0,1,1,0,0
1406,Arranged,29,Male,School,Different,Others,Yes,Rural,No,Medium,No,1,Low,20,Yes,No,No,0,1,3,0,3,2,0,2,0,1,1,0,0
1407,Love,19,Female,School,Different,Others,Yes,Urban,No,Medium,Yes,5,Middle,23,Yes,No,No,1,0,3,0,3,2,0,2,1,2,1,0,0
1408,Love,27,Male,School,Same,Hindu,Yes,Rural,No,Medium,No,4,Middle,30,Yes,No,No,1,1,3,1,1,2,0,2,0,2,1,0,0
1409,Arranged,29,Female,Postgraduate,Same,Hindu,Yes,Urban,No,Medium,No,4,High,35,No,No,No,0,0,2,1,1,2,0,2,0,0,0,0,0
1410,Love,28,Female,Graduate,Different,Hindu,Yes,Urban,Yes,Medium,No,1,Low,24,No,No,No,1,0,0,0,1,2,2,2,0,1,0,0,0
1411,Arranged,27,Male,School,Same,Sikh,Yes,Rural,No,Medium,No,4,Low,42,No,Yes,No,0,1,3,1,4,2,0,2,0,1,0,1,0
1412,Arranged,36,Male,School,Same,Christian,Yes,Urban,Yes,Medium,No,0,Low,36,Yes,No,No,0,1,3,1,0,2,2,2,0,1,1,0,0
1413,Arranged,36,Female,Graduate,Same,Muslim,No,Urban,Yes,Medium,No,3,Middle,1,Yes,Yes,No,0,0,0,1,2,0,2,2,0,2,1,1,0
1414,Arranged,29,Male,Graduate,Same,Hindu,Yes,Rural,Not Disclosed,High,Yes,1,Low,21,No,No,No,0,1,0,1,1,2,1,0,1,1,0,0,0
1415,Arranged,20,Male,School,Same,Hindu,Yes,Rural,No,Low,No,4,Middle,26,Yes,Yes,No,0,1,3,1,1,2,0,1,0,2,1,1,0
1416,Arranged,34,Female,School,Different,Others,No,Urban,Not Disclosed,Medium,No,4,Middle,45,No,No,No,0,0,3,0,3,0,1,2,0,2,0,0,0
1417,Arranged,33,Female,PhD,Same,Muslim,Yes,Urban,Yes,Medium,No,2,Middle,13,No,No,No,0,0,1,1,2,2,2,2,0,2,0,0,0
1418,Arranged,20,Male,PhD,Same,Hindu,Yes,Rural,Yes,Medium,No,2,Low,3,No,No,No,0,1,1,1,1,2,2,2,0,1,0,0,0
1419,Arranged,18,Male,PhD,Same,Hindu,No,Rural,No,Medium,Yes,0,Low,47,No,No,No,0,1,1,1,1,0,0,2,1,1,0,0,0
1420,Love,18,Female,Graduate,Same,Hindu,Yes,Urban,No,Low,No,3,Middle,44,No,No,Yes,1,0,0,1,1,2,0,1,0,2,0,0,1
1421,Arranged,22,Female,School,Same,Hindu,Yes,Urban,No,High,No,0,Low,4,Yes,No,No,0,0,3,1,1,2,0,0,0,1,1,0,0
1422,Arranged,25,Male,Graduate,Same,Others,Yes,Urban,No,Medium,No,3,Low,20,Yes,No,No,0,1,0,1,3,2,0,2,0,1,1,0,0
1423,Arranged,31,Female,School,Same,Hindu,Yes,Urban,No,High,No,0,High,19,No,No,No,0,0,3,1,1,2,0,0,0,0,0,0,0
1424,Arranged,28,Female,Postgraduate,Same,Muslim,Yes,Urban,Yes,High,No,3,Low,47,Yes,No,Yes,0,0,2,1,2,2,2,0,0,1,1,0,1
1425,Love,26,Male,Graduate,Same,Others,Yes,Urban,No,High,No,4,Middle,11,Yes,No,No,1,1,0,1,3,2,0,0,0,2,1,0,0
1426,Arranged,39,Male,School,Same,Hindu,Yes,Urban,No,Medium,No,1,Low,10,Yes,Yes,Yes,0,1,3,1,1,2,0,2,0,1,1,1,1
1427,Love,31,Male,School,Same,Hindu,Partial,Urban,No,High,No,1,High,1,No,No,No,1,1,3,1,1,1,0,0,0,0,0,0,0
1428,Love,26,Male,School,Same,Hindu,Yes,Rural,No,High,No,0,High,4,No,Yes,No,1,1,3,1,1,2,0,0,0,0,0,1,0
1429,Love,38,Female,Postgraduate,Same,Hindu,Yes,Rural,Yes,High,Yes,4,High,42,No,No,No,1,0,2,1,1,2,2,0,1,0,0,0,0
1430,Arranged,34,Male,School,Different,Christian,Yes,Urban,No,Medium,No,3,Middle,21,Yes,No,No,0,1,3,0,0,2,0,2,0,2,1,0,0
1431,Love,34,Male,School,Different,Muslim,Yes,Urban,No,Low,Yes,0,Low,20,Yes,No,No,1,1,3,0,2,2,0,1,1,1,1,0,0
1432,Arranged,20,Female,Graduate,Different,Hindu,Yes,Rural,No,High,No,1,High,32,No,Yes,No,0,0,0,0,1,2,0,0,0,0,0,1,0
1433,Arranged,19,Female,PhD,Same,Hindu,Yes,Urban,Yes,Medium,No,4,High,26,Yes,No,No,0,0,1,1,1,2,2,2,0,0,1,0,0
1434,Love,24,Male,Postgraduate,Same,Hindu,Yes,Rural,No,High,No,1,Middle,46,No,No,No,1,1,2,1,1,2,0,0,0,2,0,0,0
1435,Arranged,32,Female,School,Same,Hindu,Yes,Urban,Yes,Medium,No,0,Low,20,Yes,Yes,No,0,0,3,1,1,2,2,2,0,1,1,1,0
1436,Love,29,Male,Graduate,Same,Hindu,No,Urban,Yes,Low,No,3,Low,32,Yes,No,No,1,1,0,1,1,0,2,1,0,1,1,0,0
1437,Love,36,Female,Graduate,Different,Hindu,Yes,Urban,Yes,Medium,No,2,Middle,11,No,No,No,1,0,0,0,1,2,2,2,0,2,0,0,0
1438,Arranged,36,Male,Postgraduate,Different,Muslim,Yes,Urban,No,High,No,5,Middle,40,No,No,No,0,1,2,0,2,2,0,0,0,2,0,0,0
1439,Love,30,Male,Postgraduate,Same,Others,No,Rural,No,High,No,0,High,44,No,No,Yes,1,1,2,1,3,0,0,0,0,0,0,0,1
1440,Love,31,Male,Graduate,Different,Hindu,Partial,Rural,No,Low,Yes,5,High,5,No,No,No,1,1,0,0,1,1,0,1,1,0,0,0,0
1441,Arranged,28,Female,School,Same,Muslim,Partial,Urban,No,Medium,No,1,High,11,Yes,Yes,No,0,0,3,1,2,1,0,2,0,0,1,1,0
1442,Arranged,31,Male,Graduate,Same,Hindu,Yes,Urban,No,Low,No,4,Middle,37,No,No,No,0,1,0,1,1,2,0,1,0,2,0,0,0
1443,Arranged,35,Male,School,Same,Muslim,Yes,Urban,Not Disclosed,High,Yes,0,High,27,No,No,No,0,1,3,1,2,2,1,0,1,0,0,0,0
1444,Love,31,Female,Graduate,Different,Sikh,Yes,Urban,No,Medium,Yes,4,Middle,22,No,Yes,No,1,0,0,0,4,2,0,2,1,2,0,1,0
1445,Arranged,36,Male,Graduate,Different,Christian,Yes,Urban,Yes,Medium,No,4,Low,23,Yes,No,No,0,1,0,0,0,2,2,2,0,1,1,0,0
1446,Love,37,Female,School,Different,Hindu,Yes,Urban,No,High,No,1,High,26,No,No,No,1,0,3,0,1,2,0,0,0,0,0,0,0
1447,Arranged,30,Female,Graduate,Same,Muslim,No,Rural,Yes,High,No,2,Middle,47,Yes,No,Yes,0,0,0,1,2,0,2,0,0,2,1,0,1
1448,Love,33,Male,Graduate,Different,Muslim,Yes,Urban,No,Medium,No,5,High,26,Yes,No,No,1,1,0,0,2,2,0,2,0,0,1,0,0
1449,Arranged,25,Female,School,Same,Hindu,Partial,Rural,Not Disclosed,Medium,No,4,Middle,41,Yes,No,Yes,0,0,3,1,1,1,1,2,0,2,1,0,1
1450,Love,38,Male,Graduate,Different,Hindu,Yes,Urban,Yes,Low,No,2,Middle,27,No,No,No,1,1,0,0,1,2,2,1,0,2,0,0,0
1451,Love,37,Female,Postgraduate,Same,Hindu,Yes,Urban,No,Medium,No,0,Middle,28,Yes,No,No,1,0,2,1,1,2,0,2,0,2,1,0,0
1452,Love,29,Female,Postgraduate,Same,Muslim,Yes,Urban,No,High,Yes,0,Low,37,No,No,No,1,0,2,1,2,2,0,0,1,1,0,0,0
1453,Arranged,23,Male,School,Same,Muslim,Yes,Rural,No,High,No,0,Middle,44,Yes,No,No,0,1,3,1,2,2,0,0,0,2,1,0,0
1454,Arranged,35,Male,Graduate,Same,Muslim,Partial,Urban,Yes,Medium,No,1,Middle,49,No,Yes,No,0,1,0,1,2,1,2,2,0,2,0,1,0
1455,Arranged,31,Female,Graduate,Same,Muslim,Partial,Rural,Not Disclosed,Low,No,5,Middle,46,No,No,No,0,0,0,1,2,1,1,1,0,2,0,0,0
1456,Love,28,Female,PhD,Same,Hindu,Partial,Urban,No,High,Yes,0,High,22,No,No,Yes,1,0,1,1,1,1,0,0,1,0,0,0,1
1457,Love,27,Female,Graduate,Same,Christian,No,Urban,No,Low,No,4,Middle,49,No,No,No,1,0,0,1,0,0,0,1,0,2,0,0,0
1458,Love,18,Male,Graduate,Different,Hindu,Partial,Rural,No,High,No,2,Low,17,Yes,Yes,No,1,1,0,0,1,1,0,0,0,1,1,1,0
1459,Love,26,Female,School,Different,Hindu,Yes,Urban,No,Low,No,4,Middle,11,No,No,No,1,0,3,0,1,2,0,1,0,2,0,0,0
1460,Arranged,22,Female,School,Same,Hindu,Yes,Rural,Yes,High,No,1,Middle,21,Yes,No,No,0,0,3,1,1,2,2,0,0,2,1,0,0
1461,Love,35,Male,Graduate,Different,Hindu,Partial,Urban,No,High,No,4,Middle,44,Yes,No,No,1,1,0,0,1,1,0,0,0,2,1,0,0
1462,Love,28,Male,PhD,Same,Hindu,Partial,Urban,Not Disclosed,Low,No,0,Low,9,Yes,No,No,1,1,1,1,1,1,1,1,0,1,1,0,0
1463,Arranged,20,Male,Postgraduate,Same,Muslim,No,Rural,Yes,Medium,No,1,Middle,45,Yes,Yes,Yes,0,1,2,1,2,0,2,2,0,2,1,1,1
1464,Arranged,33,Female,School,Different,Hindu,Yes,Urban,No,Low,Yes,2,Low,47,No,No,Yes,0,0,3,0,1,2,0,1,1,1,0,0,1
1465,Love,19,Female,Graduate,Same,Hindu,Partial,Rural,Yes,Medium,No,4,Middle,25,No,No,No,1,0,0,1,1,1,2,2,0,2,0,0,0
1466,Love,22,Male,Graduate,Same,Hindu,Yes,Urban,Yes,Low,No,0,Low,43,No,No,No,1,1,0,1,1,2,2,1,0,1,0,0,0
1467,Love,19,Male,Postgraduate,Same,Others,Partial,Rural,Yes,Medium,No,1,Middle,32,No,No,No,1,1,2,1,3,1,2,2,0,2,0,0,0
1468,Love,20,Female,Postgraduate,Same,Muslim,Yes,Urban,No,High,No,5,Middle,31,Yes,No,No,1,0,2,1,2,2,0,0,0,2,1,0,0
1469,Love,20,Male,Graduate,Same,Hindu,Yes,Rural,Yes,Low,No,4,Middle,6,No,Yes,No,1,1,0,1,1,2,2,1,0,2,0,1,0
1470,Love,39,Female,Graduate,Same,Sikh,Partial,Urban,Yes,Medium,No,4,Middle,27,Yes,No,No,1,0,0,1,4,1,2,2,0,2,1,0,0
1471,Arranged,37,Female,Graduate,Same,Hindu,Yes,Rural,Not Disclosed,Low,No,2,Middle,10,No,No,No,0,0,0,1,1,2,1,1,0,2,0,0,0
1472,Arranged,23,Male,Postgraduate,Same,Hindu,Yes,Urban,No,High,No,0,Low,38,Yes,No,No,0,1,2,1,1,2,0,0,0,1,1,0,0
1473,Arranged,24,Male,School,Same,Christian,Yes,Urban,Yes,Medium,No,1,Middle,15,Yes,No,No,0,1,3,1,0,2,2,2,0,2,1,0,0
1474,Love,24,Male,PhD,Different,Hindu,Yes,Rural,No,Medium,No,5,Middle,16,Yes,No,Yes,1,1,1,0,1,2,0,2,0,2,1,0,1
1475,Arranged,18,Male,Graduate,Same,Muslim,Yes,Rural,Yes,High,No,5,Low,2,Yes,Yes,No,0,1,0,1,2,2,2,0,0,1,1,1,0
1476,Arranged,24,Female,Graduate,Same,Others,Partial,Urban,No,High,No,1,Low,16,Yes,No,No,0,0,0,1,3,1,0,0,0,1,1,0,0
1477,Arranged,39,Female,School,Same,Hindu,Yes,Urban,No,High,No,0,Middle,38,Yes,No,No,0,0,3,1,1,2,0,0,0,2,1,0,0
1478,Arranged,24,Male,School,Same,Muslim,Yes,Urban,No,Low,No,4,Middle,8,Yes,No,No,0,1,3,1,2,2,0,1,0,2,1,0,0
1479,Arranged,28,Male,Graduate,Same,Hindu,Yes,Urban,No,High,No,4,Middle,6,No,No,Yes,0,1,0,1,1,2,0,0,0,2,0,0,1
1480,Love,37,Female,Graduate,Same,Hindu,Yes,Urban,Yes,Low,No,0,Low,43,No,Yes,Yes,1,0,0,1,1,2,2,1,0,1,0,1,1
1481,Love,20,Female,Graduate,Same,Muslim,Yes,Rural,No,Low,No,1,Middle,21,Yes,Yes,No,1,0,0,1,2,2,0,1,0,2,1,1,0
1482,Love,36,Female,Graduate,Different,Christian,No,Urban,No,Low,No,2,Low,4,Yes,No,Yes,1,0,0,0,0,0,0,1,0,1,1,0,1
1483,Arranged,30,Female,Postgraduate,Same,Hindu,Yes,Urban,No,High,No,3,Low,5,Yes,Yes,Yes,0,0,2,1,1,2,0,0,0,1,1,1,1
1484,Arranged,32,Female,Graduate,Different,Hindu,Partial,Urban,Yes,Medium,No,0,Low,49,No,No,No,0,0,0,0,1,1,2,2,0,1,0,0,0
1485,Arranged,39,Male,School,Same,Christian,Yes,Rural,No,High,No,5,High,23,No,Yes,No,0,1,3,1,0,2,0,0,0,0,0,1,0
1486,Arranged,22,Female,Postgraduate,Same,Muslim,Yes,Rural,No,Medium,No,5,Middle,6,No,No,No,0,0,2,1,2,2,0,2,0,2,0,0,0
